"Series";"Time";"Value"
"Z";"2020-09-26T17:14:00-04:00";13332
"Z";"2020-09-26T17:14:00-04:00";16103
"Z";"2020-09-26T17:14:00-04:00";17070
"Z";"2020-09-26T17:14:00-04:00";17462
"Z";"2020-09-26T17:14:00-04:00";18488
"Z";"2020-09-26T17:14:00-04:00";16369
"Z";"2020-09-26T17:14:00-04:00";14248
"Z";"2020-09-26T17:14:00-04:00";15518
"Z";"2020-09-26T17:14:00-04:00";17319
"Z";"2020-09-26T17:14:00-04:00";16426
"Z";"2020-09-26T17:14:00-04:00";17019
"Z";"2020-09-26T17:14:00-04:00";18406
"Z";"2020-09-26T17:14:00-04:00";15904
"Z";"2020-09-26T17:14:00-04:00";14639
"Z";"2020-09-26T17:14:00-04:00";15581
"Z";"2020-09-26T17:14:00-04:00";16451
"Z";"2020-09-26T17:14:00-04:00";17132
"Z";"2020-09-26T17:14:00-04:00";16613
"Z";"2020-09-26T17:14:00-04:00";17461
"Z";"2020-09-26T17:14:00-04:00";16827
"Z";"2020-09-26T17:14:00-04:00";14722
"Z";"2020-09-26T17:14:00-04:00";15967
"Z";"2020-09-26T17:14:00-04:00";16202
"Z";"2020-09-26T17:14:00-04:00";16156
"Z";"2020-09-26T17:14:00-04:00";18490
"Z";"2020-09-26T17:14:00-04:00";17337
"Z";"2020-09-26T17:14:00-04:00";14312
"Z";"2020-09-26T17:14:00-04:00";15098
"Z";"2020-09-26T17:14:00-04:00";17381
"Z";"2020-09-26T17:14:00-04:00";16616
"Z";"2020-09-26T17:14:00-04:00";15210
"Z";"2020-09-26T17:14:00-04:00";17541
"Z";"2020-09-26T17:14:00-04:00";18334
"Z";"2020-09-26T17:14:00-04:00";15159
"Z";"2020-09-26T17:14:00-04:00";14930
"Z";"2020-09-26T17:14:00-04:00";16553
"Z";"2020-09-26T17:14:00-04:00";16204
"Z";"2020-09-26T17:14:00-04:00";15706
"Z";"2020-09-26T17:14:00-04:00";17310
"Z";"2020-09-26T17:14:00-04:00";17886
"Z";"2020-09-26T17:14:00-04:00";16088
"Z";"2020-09-26T17:14:00-04:00";15718
"Z";"2020-09-26T17:14:00-04:00";15619
"Z";"2020-09-26T17:14:00-04:00";14755
"Z";"2020-09-26T17:14:00-04:00";16422
"Z";"2020-09-26T17:14:00-04:00";19108
"Z";"2020-09-26T17:14:00-04:00";16904
"Z";"2020-09-26T17:14:00-04:00";15196
"Z";"2020-09-26T17:14:00-04:00";16521
"Z";"2020-09-26T17:14:00-04:00";15580
"Z";"2020-09-26T17:14:00-04:00";14163
"Z";"2020-09-26T17:14:00-04:00";16858
"Z";"2020-09-26T17:14:00-04:00";20203
"Z";"2020-09-26T17:14:00-04:00";17495
"Z";"2020-09-26T17:14:00-04:00";14411
"Z";"2020-09-26T17:14:00-04:00";15172
"Z";"2020-09-26T17:14:00-04:00";15190
"Z";"2020-09-26T17:14:00-04:00";14920
"Z";"2020-09-26T17:14:00-04:00";17145
"Z";"2020-09-26T17:14:00-04:00";18850
"Z";"2020-09-26T17:14:00-04:00";17346
"Z";"2020-09-26T17:14:00-04:00";16035
"Z";"2020-09-26T17:14:00-04:00";15470
"Z";"2020-09-26T17:14:00-04:00";14485
"Z";"2020-09-26T17:14:00-04:00";15316
"Z";"2020-09-26T17:14:00-04:00";17851
"Z";"2020-09-26T17:14:00-04:00";18419
"Z";"2020-09-26T17:14:00-04:00";16418
"Z";"2020-09-26T17:14:00-04:00";15939
"Z";"2020-09-26T17:14:00-04:00";16039
"Z";"2020-09-26T17:14:00-04:00";14451
"Z";"2020-09-26T17:14:00-04:00";15193
"Z";"2020-09-26T17:14:00-04:00";18800
"Z";"2020-09-26T17:14:00-04:00";18316
"Z";"2020-09-26T17:14:00-04:00";14909
"Z";"2020-09-26T17:14:00-04:00";15435
"Z";"2020-09-26T17:14:00-04:00";16481
"Z";"2020-09-26T17:14:00-04:00";15101
"Z";"2020-09-26T17:14:00-04:00";16130
"Z";"2020-09-26T17:14:00-04:00";18411
"Z";"2020-09-26T17:14:00-04:00";17113
"Z";"2020-09-26T17:14:00-04:00";15953
"Z";"2020-09-26T17:14:00-04:00";15765
"Z";"2020-09-26T17:14:00-04:00";16196
"Z";"2020-09-26T17:14:00-04:00";15330
"Z";"2020-09-26T17:14:00-04:00";16422
"Z";"2020-09-26T17:14:00-04:00";18943
"Z";"2020-09-26T17:14:00-04:00";15136
"Z";"2020-09-26T17:14:00-04:00";14724
"Z";"2020-09-26T17:14:00-04:00";17548
"Z";"2020-09-26T17:14:00-04:00";16391
"Z";"2020-09-26T17:14:00-04:00";14933
"Z";"2020-09-26T17:14:00-04:00";17041
"Z";"2020-09-26T17:14:00-04:00";18402
"Z";"2020-09-26T17:14:00-04:00";15527
"Z";"2020-09-26T17:14:00-04:00";15374
"Z";"2020-09-26T17:14:00-04:00";17253
"Z";"2020-09-26T17:14:00-04:00";15775
"Z";"2020-09-26T17:14:00-04:00";15335
"Z";"2020-09-26T17:14:00-04:00";17052
"Z";"2020-09-26T17:14:01-04:00";17137
"Z";"2020-09-26T17:14:01-04:00";16290
"Z";"2020-09-26T17:14:01-04:00";16427
"Z";"2020-09-26T17:14:01-04:00";16781
"Z";"2020-09-26T17:14:01-04:00";15283
"Z";"2020-09-26T17:14:01-04:00";15160
"Z";"2020-09-26T17:14:01-04:00";17483
"Z";"2020-09-26T17:14:01-04:00";17011
"Z";"2020-09-26T17:14:01-04:00";15566
"Z";"2020-09-26T17:14:01-04:00";17038
"Z";"2020-09-26T17:14:01-04:00";17084
"Z";"2020-09-26T17:14:01-04:00";14239
"Z";"2020-09-26T17:14:01-04:00";14782
"Z";"2020-09-26T17:14:01-04:00";18269
"Z";"2020-09-26T17:14:01-04:00";18037
"Z";"2020-09-26T17:14:01-04:00";16162
"Z";"2020-09-26T17:14:01-04:00";16281
"Z";"2020-09-26T17:14:01-04:00";15748
