"Series";"Time";"Value"
"Z";"2020-09-26T17:14:01-04:00";16787
"Z";"2020-09-26T17:14:01-04:00";19492
"Z";"2020-09-26T17:14:01-04:00";19352
"Z";"2020-09-26T17:14:01-04:00";16432
"Z";"2020-09-26T17:14:01-04:00";15880
"Z";"2020-09-26T17:14:01-04:00";16477
"Z";"2020-09-26T17:14:01-04:00";17042
"Z";"2020-09-26T17:14:01-04:00";17726
"Z";"2020-09-26T17:14:01-04:00";17733
"Z";"2020-09-26T17:14:01-04:00";18286
"Z";"2020-09-26T17:14:01-04:00";16785
"Z";"2020-09-26T17:14:01-04:00";15964
"Z";"2020-09-26T17:14:01-04:00";19090
"Z";"2020-09-26T17:14:01-04:00";20034
"Z";"2020-09-26T17:14:01-04:00";19588
"Z";"2020-09-26T17:14:01-04:00";18736
"Z";"2020-09-26T17:14:01-04:00";15151
"Z";"2020-09-26T17:14:01-04:00";13428
"Z";"2020-09-26T17:14:01-04:00";14753
"Z";"2020-09-26T17:14:01-04:00";15350
"Z";"2020-09-26T17:14:01-04:00";15503
"Z";"2020-09-26T17:14:01-04:00";16292
"Z";"2020-09-26T17:14:01-04:00";14985
"Z";"2020-09-26T17:14:01-04:00";12756
"Z";"2020-09-26T17:14:01-04:00";12950
"Z";"2020-09-26T17:14:01-04:00";15196
"Z";"2020-09-26T17:14:01-04:00";17204
"Z";"2020-09-26T17:14:01-04:00";16673
"Z";"2020-09-26T17:14:01-04:00";16219
"Z";"2020-09-26T17:14:01-04:00";16970
"Z";"2020-09-26T17:14:01-04:00";15238
"Z";"2020-09-26T17:14:01-04:00";13727
"Z";"2020-09-26T17:14:01-04:00";15803
"Z";"2020-09-26T17:14:01-04:00";16306
"Z";"2020-09-26T17:14:01-04:00";15130
"Z";"2020-09-26T17:14:01-04:00";16758
"Z";"2020-09-26T17:14:01-04:00";17064
"Z";"2020-09-26T17:14:01-04:00";14671
"Z";"2020-09-26T17:14:01-04:00";16465
"Z";"2020-09-26T17:14:01-04:00";18591
"Z";"2020-09-26T17:14:01-04:00";16475
"Z";"2020-09-26T17:14:01-04:00";16546
"Z";"2020-09-26T17:14:01-04:00";17791
"Z";"2020-09-26T17:14:01-04:00";16810
"Z";"2020-09-26T17:14:01-04:00";15695
"Z";"2020-09-26T17:14:01-04:00";16629
"Z";"2020-09-26T17:14:01-04:00";17110
"Z";"2020-09-26T17:14:01-04:00";15901
"Z";"2020-09-26T17:14:01-04:00";15569
"Z";"2020-09-26T17:14:01-04:00";16549
"Z";"2020-09-26T17:14:01-04:00";18143
"Z";"2020-09-26T17:14:01-04:00";17915
"Z";"2020-09-26T17:14:01-04:00";17162
"Z";"2020-09-26T17:14:01-04:00";17066
"Z";"2020-09-26T17:14:01-04:00";16567
"Z";"2020-09-26T17:14:01-04:00";16899
"Z";"2020-09-26T17:14:01-04:00";17093
"Z";"2020-09-26T17:14:01-04:00";15329
"Z";"2020-09-26T17:14:01-04:00";16361
"Z";"2020-09-26T17:14:01-04:00";19141
"Z";"2020-09-26T17:14:01-04:00";16722
"Z";"2020-09-26T17:14:01-04:00";15447
"Z";"2020-09-26T17:14:01-04:00";18334
"Z";"2020-09-26T17:14:01-04:00";18150
"Z";"2020-09-26T17:14:01-04:00";15363
"Z";"2020-09-26T17:14:01-04:00";15967
"Z";"2020-09-26T17:14:01-04:00";18939
"Z";"2020-09-26T17:14:01-04:00";18724
"Z";"2020-09-26T17:14:01-04:00";16455
"Z";"2020-09-26T17:14:01-04:00";16334
"Z";"2020-09-26T17:14:01-04:00";17013
"Z";"2020-09-26T17:14:01-04:00";15928
"Z";"2020-09-26T17:14:01-04:00";15971
"Z";"2020-09-26T17:14:02-04:00";17692
"Z";"2020-09-26T17:14:02-04:00";17023
"Z";"2020-09-26T17:14:02-04:00";15979
"Z";"2020-09-26T17:14:02-04:00";17343
"Z";"2020-09-26T17:14:02-04:00";17401
"Z";"2020-09-26T17:14:02-04:00";16084
"Z";"2020-09-26T17:14:02-04:00";16968
"Z";"2020-09-26T17:14:02-04:00";17278
"Z";"2020-09-26T17:14:02-04:00";16242
"Z";"2020-09-26T17:14:02-04:00";17045
"Z";"2020-09-26T17:14:02-04:00";18179
"Z";"2020-09-26T17:14:02-04:00";16839
"Z";"2020-09-26T17:14:02-04:00";14494
"Z";"2020-09-26T17:14:02-04:00";16198
"Z";"2020-09-26T17:14:02-04:00";18678
"Z";"2020-09-26T17:14:02-04:00";18135
"Z";"2020-09-26T17:14:02-04:00";17345
"Z";"2020-09-26T17:14:02-04:00";17423
"Z";"2020-09-26T17:14:02-04:00";16536
"Z";"2020-09-26T17:14:02-04:00";14625
"Z";"2020-09-26T17:14:02-04:00";14849
"Z";"2020-09-26T17:14:02-04:00";16538
"Z";"2020-09-26T17:14:02-04:00";18895
"Z";"2020-09-26T17:14:02-04:00";19725
"Z";"2020-09-26T17:14:02-04:00";16204
"Z";"2020-09-26T17:14:02-04:00";12844
"Z";"2020-09-26T17:14:02-04:00";14239
"Z";"2020-09-26T17:14:02-04:00";16485
"Z";"2020-09-26T17:14:02-04:00";17459
"Z";"2020-09-26T17:14:02-04:00";18846
"Z";"2020-09-26T17:14:02-04:00";19321
"Z";"2020-09-26T17:14:02-04:00";17442
"Z";"2020-09-26T17:14:02-04:00";12997
"Z";"2020-09-26T17:14:02-04:00";11396
"Z";"2020-09-26T17:14:02-04:00";15939
"Z";"2020-09-26T17:14:02-04:00";19450
"Z";"2020-09-26T17:14:02-04:00";19226
"Z";"2020-09-26T17:14:02-04:00";18635
"Z";"2020-09-26T17:14:02-04:00";16483
"Z";"2020-09-26T17:14:02-04:00";15212
"Z";"2020-09-26T17:14:02-04:00";13632
"Z";"2020-09-26T17:14:02-04:00";16196
"Z";"2020-09-26T17:14:02-04:00";13929
"Z";"2020-09-26T17:14:02-04:00";6086
"Z";"2020-09-26T17:14:02-04:00";13342
"Z";"2020-09-26T17:14:02-04:00";17206
"Z";"2020-09-26T17:14:02-04:00";14418
"Z";"2020-09-26T17:14:02-04:00";16585
"Z";"2020-09-26T17:14:02-04:00";19424
"Z";"2020-09-26T17:14:02-04:00";21374
"Z";"2020-09-26T17:14:02-04:00";22432
"Z";"2020-09-26T17:14:02-04:00";22745
"Z";"2020-09-26T17:14:02-04:00";20735
"Z";"2020-09-26T17:14:02-04:00";18471
"Z";"2020-09-26T17:14:02-04:00";16812
"Z";"2020-09-26T17:14:02-04:00";17645
"Z";"2020-09-26T17:14:02-04:00";17755
"Z";"2020-09-26T17:14:02-04:00";16819
"Z";"2020-09-26T17:14:02-04:00";18589
"Z";"2020-09-26T17:14:02-04:00";18192
"Z";"2020-09-26T17:14:02-04:00";14573
"Z";"2020-09-26T17:14:02-04:00";13440
"Z";"2020-09-26T17:14:02-04:00";14610
"Z";"2020-09-26T17:14:02-04:00";16333
"Z";"2020-09-26T17:14:02-04:00";19238
"Z";"2020-09-26T17:14:02-04:00";18410
"Z";"2020-09-26T17:14:02-04:00";16083
"Z";"2020-09-26T17:14:02-04:00";16454
"Z";"2020-09-26T17:14:02-04:00";14755
"Z";"2020-09-26T17:14:02-04:00";13950
"Z";"2020-09-26T17:14:02-04:00";16827
"Z";"2020-09-26T17:14:02-04:00";19822
"Z";"2020-09-26T17:14:02-04:00";20461
"Z";"2020-09-26T17:14:02-04:00";17287
"Z";"2020-09-26T17:14:02-04:00";13093
"Z";"2020-09-26T17:14:02-04:00";13499
"Z";"2020-09-26T17:14:02-04:00";16478
"Z";"2020-09-26T17:14:02-04:00";17364
"Z";"2020-09-26T17:14:02-04:00";17990
"Z";"2020-09-26T17:14:02-04:00";18909
"Z";"2020-09-26T17:14:02-04:00";18152
"Z";"2020-09-26T17:14:02-04:00";15410
"Z";"2020-09-26T17:14:02-04:00";13719
"Z";"2020-09-26T17:14:02-04:00";14914
"Z";"2020-09-26T17:14:02-04:00";17799
"Z";"2020-09-26T17:14:02-04:00";20298
"Z";"2020-09-26T17:14:02-04:00";18331
"Z";"2020-09-26T17:14:02-04:00";15134
"Z";"2020-09-26T17:14:02-04:00";14644
"Z";"2020-09-26T17:14:02-04:00";14266
"Z";"2020-09-26T17:14:02-04:00";14982
"Z";"2020-09-26T17:14:02-04:00";17107
"Z";"2020-09-26T17:14:02-04:00";19317
