"Series";"Time";"Value"
"Z";"2020-09-26T17:14:01-04:00";9402
"Z";"2020-09-26T17:14:01-04:00";9214
"Z";"2020-09-26T17:14:01-04:00";8894
"Z";"2020-09-26T17:14:01-04:00";8260
"Z";"2020-09-26T17:14:01-04:00";7918
"Z";"2020-09-26T17:14:01-04:00";8022
"Z";"2020-09-26T17:14:01-04:00";9467
"Z";"2020-09-26T17:14:01-04:00";9698
"Z";"2020-09-26T17:14:01-04:00";8612
"Z";"2020-09-26T17:14:01-04:00";7898
"Z";"2020-09-26T17:14:01-04:00";8091
"Z";"2020-09-26T17:14:01-04:00";8489
"Z";"2020-09-26T17:14:01-04:00";9171
"Z";"2020-09-26T17:14:01-04:00";10324
"Z";"2020-09-26T17:14:01-04:00";9452
"Z";"2020-09-26T17:14:01-04:00";7755
"Z";"2020-09-26T17:14:01-04:00";7025
"Z";"2020-09-26T17:14:01-04:00";8199
"Z";"2020-09-26T17:14:01-04:00";9181
"Z";"2020-09-26T17:14:01-04:00";8992
"Z";"2020-09-26T17:14:01-04:00";9700
"Z";"2020-09-26T17:14:01-04:00";9230
"Z";"2020-09-26T17:14:01-04:00";7975
"Z";"2020-09-26T17:14:01-04:00";8405
"Z";"2020-09-26T17:14:01-04:00";8283
"Z";"2020-09-26T17:14:01-04:00";8006
"Z";"2020-09-26T17:14:01-04:00";9274
"Z";"2020-09-26T17:14:01-04:00";9595
"Z";"2020-09-26T17:14:01-04:00";8697
"Z";"2020-09-26T17:14:01-04:00";8001
"Z";"2020-09-26T17:14:01-04:00";8475
"Z";"2020-09-26T17:14:01-04:00";8731
"Z";"2020-09-26T17:14:01-04:00";8732
"Z";"2020-09-26T17:14:01-04:00";9025
"Z";"2020-09-26T17:14:01-04:00";8698
"Z";"2020-09-26T17:14:01-04:00";8925
"Z";"2020-09-26T17:14:01-04:00";8615
"Z";"2020-09-26T17:14:01-04:00";8915
"Z";"2020-09-26T17:14:01-04:00";8450
"Z";"2020-09-26T17:14:01-04:00";7385
"Z";"2020-09-26T17:14:01-04:00";9149
"Z";"2020-09-26T17:14:01-04:00";9626
"Z";"2020-09-26T17:14:01-04:00";8875
"Z";"2020-09-26T17:14:01-04:00";8622
"Z";"2020-09-26T17:14:01-04:00";8760
"Z";"2020-09-26T17:14:01-04:00";8841
"Z";"2020-09-26T17:14:01-04:00";7970
"Z";"2020-09-26T17:14:01-04:00";8418
"Z";"2020-09-26T17:14:01-04:00";8835
"Z";"2020-09-26T17:14:01-04:00";8213
"Z";"2020-09-26T17:14:01-04:00";8494
"Z";"2020-09-26T17:14:01-04:00";9545
"Z";"2020-09-26T17:14:01-04:00";9353
"Z";"2020-09-26T17:14:01-04:00";8316
"Z";"2020-09-26T17:14:01-04:00";8875
"Z";"2020-09-26T17:14:01-04:00";9352
"Z";"2020-09-26T17:14:01-04:00";7986
"Z";"2020-09-26T17:14:01-04:00";7495
"Z";"2020-09-26T17:14:01-04:00";8240
"Z";"2020-09-26T17:14:01-04:00";9036
"Z";"2020-09-26T17:14:01-04:00";9715
"Z";"2020-09-26T17:14:01-04:00";9367
"Z";"2020-09-26T17:14:01-04:00";8415
"Z";"2020-09-26T17:14:01-04:00";8169
"Z";"2020-09-26T17:14:01-04:00";8663
